ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE
16,3,5,0,0,0,0.184706,0,0,0.709888,0,0,0,0,0,0,0.822826,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17104
16,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44716,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43744
8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92831,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03016
2,11,2,0,0,0,0.102701,0,0,0,0,0,0,0,0,0,3.00523,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63684
11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790855
10,15,3,0,0,0,0,0,0,0,0,0,0,0.301658,0,0,0.982403,0,0,0,0,0,0,0,0.107645,0,0,0,0,0,1.24943
12,5,5,0,0.237353,0,0,0,0,0,0,0,0,0.63787,0.106457,0,1.4034,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19021
9,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69524,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43331
10,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901381,0.128963,0,0,0,0,0,0,0,0,0,0,0,0,0.660631
3,10,8,0,0,0,0,0,0,0,0,0,0,0.177436,0,0,2.19542,0,0,0,0.128954,0,0,0,0,0,0,0,0,0,2.37121
4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79478,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42697
5,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44298,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36862
9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765684
14,4,7,0,0,0.309753,0,0,0,0,0,0,0,0,0,0,2.3831,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24546
3,2,3,0,0.186419,0,0,0,0,0,0,0,0,0,0,0,1.43222,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79257
9,5,6,0,0.162177,0,0,0,0,0,0,0,0,0,0,0,2.4993,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53344
14,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85611,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20073
16,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3596,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28935
14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99551,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32691
4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11161,0.382461,0,0,0,0,0,0,0,0,0,0,0,0,2.46784
6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14601,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3575
8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623933
7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88246,0,0,0,0,0.436493,0,0,0,0,0,0,0,0,1.4353
8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639235
2,6,1,0,0,0,0,0.411364,0,0,0,0,0,0,0,0,2.45073,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2558
16,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93382,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79912
13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06831,0.20281,0,0,0,0,0,0,0,0,0,0,0,0,2.11256
9,13,9,0,0,0,0,0,0,0,0,0,0,0.247801,0,0,2.62461,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27043
10,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22125,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77127
14,7,3,0,0.379653,0,0,0,0,0,0,0,0,0,0,0,2.11391,0.29277,0,0,0,0,0,0,0,0,0,0,0,0,3.58109
5,14,1,0,0,0,0,0.332149,0,0,0,0,0,0,0,0,5.78941,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73668
11,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5424,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1057
4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23853,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34008
14,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39797,0,0,0,0,0,0,0,0,0.428123,0,0,0,0,1.7602
12,12,1,0,0,0,0,0,0,0,0,0,0,0,0.105724,0,3.10463,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12818
3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58808,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8646
11,8,2,0,0,0,0,0,0,0,0,0,0,0,0.774943,0,1.32637,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3275
7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61626,0.256075,0,0,0,0,0,0,0,0,0,0,0,0,3.44389
12,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1144,0,0,0,0,0,0,0,0,2.37807,0,0,0,0,5.55239
6,11,8,0,0,0,0,0,0,0,0,0,0,0.443768,0,0,1.48954,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12963
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25443,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01204
5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07435,0,0,0,0,0,0,0,0,0,0,0.309476,0,0,3.87213
14,7,5,0,0,0,0,0.239476,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07654
3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29381,0,0,0.376825,0,0,0,0,0,0,0,0,0,0,1.78289
4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11696,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90567
2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89654,0,0,0,0,0,0,0,0,0.663024,0,0,0,0,2.63034
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0.212806,0,0.390991,0,0,0.182169,0,0,0,0,0,0,0,0,0,0,0.369079
10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37568,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19989
12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2392
12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17538,0,0,0.214877,0,0,0,0,0,0,0,0,0,0,1.81148
2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69607
1,6,4,0,0,0,0,0,0,0,0,0,0,0.126603,0,0,1.33912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67305
