ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE,ECube2,sumE
16,3,5,0,0,0,0.184706,0,0,0.709888,0,0,0,0,0,0,0.822826,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17104,0.709888,1.71742
16,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44716,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43744,0,1.44716
8,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92831,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03016,0.273104,7.58274
2,11,2,0,0,0,0.102701,0,0,0,0,0,0,0,0,0,3.00523,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63684,0.116712,3.22464
11,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790855,0.239577,1.18791
10,15,3,0,0,0,0,0,0,0,0,0,0,0.301658,0,0,0.982403,0,0,0,0,0,0,0,0.107645,0,0,0,0,0,1.24943,0.301658,1.39171
12,5,5,0,0.237353,0,0,0,0,0,0,0,0,0.63787,0.106457,0,1.4034,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19021,0.63787,2.94677
9,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69524,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43331,0.338441,3.03368
10,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.901381,0.128963,0,0,0,0,0,0,0,0,0,0,0,0,0.660631,0.402243,1.43259
3,10,8,0,0,0,0,0,0,0,0,0,0,0.177436,0,0,2.19542,0,0,0,0.128954,0,0,0,0,0,0,0,0,0,2.37121,0.177436,2.97884
4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79478,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42697,0.278852,2.23791
5,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44298,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36862,0.300779,2.74375
9,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765684,0.105367,1.31988
14,4,7,0,0,0.309753,0,0,0,0,0,0,0,0,0,0,2.3831,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24546,0.309753,2.69286
3,2,3,0,0.186419,0,0,0,0,0,0,0,0,0,0,0,1.43222,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79257,0.186419,1.72305
9,5,6,0,0.162177,0,0,0,0,0,0,0,0,0,0,0,2.4993,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53344,0.162177,2.66148
14,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85611,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20073,0.331782,2.18789
16,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3596,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28935,0.147144,1.50674
14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99551,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32691,0.177912,3.17342
4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11161,0.382461,0,0,0,0,0,0,0,0,0,0,0,0,2.46784,0.382461,1.65916
6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14601,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3575,0,3.14601
8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623933,0.495653,1.06351
7,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88246,0,0,0,0,0.436493,0,0,0,0,0,0,0,0,1.4353,0.436493,2.31895
8,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639235,0,0.621694
2,6,1,0,0,0,0,0.411364,0,0,0,0,0,0,0,0,2.45073,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2558,0.411364,3.22811
16,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93382,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79912,0,3.93382
13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06831,0.20281,0,0,0,0,0,0,0,0,0,0,0,0,2.11256,0.20281,1.5624
9,13,9,0,0,0,0,0,0,0,0,0,0,0.247801,0,0,2.62461,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27043,0.247801,2.87241
10,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22125,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77127,0.153814,1.58528
14,7,3,0,0.379653,0,0,0,0,0,0,0,0,0,0,0,2.11391,0.29277,0,0,0,0,0,0,0,0,0,0,0,0,3.58109,0.55766,3.47499
5,14,1,0,0,0,0,0.332149,0,0,0,0,0,0,0,0,5.78941,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73668,0.332149,6.12156
11,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5424,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1057,0,1.5424
4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23853,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34008,0,1.23853
14,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39797,0,0,0,0,0,0,0,0,0.428123,0,0,0,0,1.7602,0.428123,2.12452
12,12,1,0,0,0,0,0,0,0,0,0,0,0,0.105724,0,3.10463,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12818,0.105724,3.31096
3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58808,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8646,0.170423,2.7585
11,8,2,0,0,0,0,0,0,0,0,0,0,0,0.774943,0,1.32637,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3275,0.774943,2.10131
7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61626,0.256075,0,0,0,0,0,0,0,0,0,0,0,0,3.44389,0.256075,4.10201
12,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1144,0,0,0,0,0,0,0,0,2.37807,0,0,0,0,5.55239,2.37807,6.09438
6,11,8,0,0,0,0,0,0,0,0,0,0,0.443768,0,0,1.48954,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12963,0.443768,2.04855
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25443,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01204,0.172137,2.58569
5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07435,0,0,0,0,0,0,0,0,0,0,0.309476,0,0,3.87213,0.351984,4.73581
14,7,5,0,0,0,0,0.239476,0,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07654,0.239476,5.11948
3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29381,0,0,0.376825,0,0,0,0,0,0,0,0,0,0,1.78289,0.376825,1.67064
4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11696,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90567,0.198287,2.69523
2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89654,0,0,0,0,0,0,0,0,0.663024,0,0,0,0,2.63034,0.663024,2.79762
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0.212806,0,0.390991,0,0,0.182169,0,0,0,0,0,0,0,0,0,0,0.369079,0.212806,0.953249
10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37568,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19989,0.448394,1.82408
12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2392,0,0.250094
12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17538,0,0,0.214877,0,0,0,0,0,0,0,0,0,0,1.81148,0.214877,2.39026
2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69607,0,1.44073
1,6,4,0,0,0,0,0,0,0,0,0,0,0.126603,0,0,1.33912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67305,0.126603,1.46572
16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03539,0,1.056
8,8,3,0,0,0,0,0,0,0,0,0,0.417074,0.116076,0,0,3.52789,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60428,0.417074,4.53911
3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23664,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03109,0.211682,2.44832
11,14,8,0,0,0,0,0.213543,0,0,0,0,0,0,0,0,1.29693,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21478,0.213543,1.51047
14,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61103,0.390784,0,0,0,0,0,0,0,0,0,0,0,0,1.81479,0.4395,2.44131
12,3,1,0,0,0,0,0,0,0,0,0,0,0.232902,0,0,3.90121,0,0,0.229542,0,0,0,0,0,0,0,0,0,0,3.51703,0.232902,4.68487
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59735,0,0,0,2.17028,0,0,0,0,0,0,0,0,0,6.73852,2.17028,5.01345
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40236,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41476,0.129984,2.53234
2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0.107461,2.12114,0,0,0,0,0,0.13307,0,0,0,0,0,0,0,3.00714,0.13307,2.46182
14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37375,0,0,0,0,0,0,0,0,0.124726,0,0,0,0,3.18882,0.161924,3.6604
3,7,5,0,0,0,0.342619,0,0,0,0,0,0,0,0,0,0.797058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65908,0.342619,1.13968
11,7,7,0,0.183674,0,0,0,0,0,0,0,0,0,0,0,0.472492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487028,0.274383,1.03854
10,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83236,0,0,0.166506,0,0,0,0,0,0,0,0,0,0,2.02434,0.166506,1.99887
5,1,3,0,0,0,0,0,0.483837,0,0,0,0,0,0,0,4.86312,0,0.232973,0,0,0,0,0,0,0,0,0,0,0,4.49234,0.483837,5.57993
12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167759,0.180684,0.774368
14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700494,0,0,0,0,0,0,0,0,0,0.429563,0,0,0,0.744694,0.429563,1.13006
11,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92829,0,0,0.248683,0,0,0,0,0,0,0,0,0,0,1.6632,0.327093,2.50406
3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20608,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35051,0.152084,4.49531
16,10,6,0,0,0,0,0.428844,0,0,0,0,0,0,0,0,1.95141,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30334,0.428844,2.38026
9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9664,0,0,0,0,0,0.266648,0,0,0,0,0,0,0,3.6527,0.266648,4.23305
11,12,1,0,0.642458,0,0,0.43801,0,0,0,0,0,1.0297,0,0,2.40358,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26598,1.0297,4.6982
10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88568,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46814,0.288338,4.17402
13,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16281,0,0,0,0,0,0,0,0,0.374672,0,0,0,0,3.0133,0.374672,3.72714
4,7,9,0,0,0,0.129384,0,0,0,0,0,0,0,0,0,0.481069,0,0,0,0,0,0,0,0,0.200055,0,0,0,0,2.19427,0.270923,1.08143
7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01573,0,0,0,0,0.130296,0,0,0,0,0,0,0,0,3.12921,0.357585,3.50361
6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822601,0.220023,1.23643
7,14,8,0,0,0,0,0,0,0.213125,0,0,0,0,0,0,0.873342,0,0,0,0,0,0,0,0,0,0.416106,0,0,0,0.69845,0.416106,1.69712
2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00139,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44343,0.488563,1.48995
